text,created_at,clean_text
"him. Percy OBVIOUSLY will have a bit of a struggle when it comes to talking to Annabeth abt his feelings toward the war bc he doesn’t feel that same connection to Luke as she does and as a result, he sought escape from his demigod troubles by talking to Rachel the mortal girl.",2025-06-10 19:44:40+00:00,"him. percy obviously will have a bit of a struggle when it comes to talking to annabeth abt his feelings toward the war bc he doesn’t feel that same connection to luke as she does and as a result, he sought escape from his demigod troubles by talking to rachel the mortal girl."
@Simone_Biles Only made this tweet because of the backlash 😂😂😂 she thought she cooked and realized she fucked up,2025-06-10 19:44:40+00:00,only made this tweet because of the backlash 😂😂😂 she thought she cooked and realized she fucked up
@DanboTalks four years ago? you have hurt my feelings,2025-06-10 19:44:40+00:00,four years ago? you have hurt my feelings
The way ppl perceive Percy as if he was this awful boy during BOTL and before TLO is absolutely absurd to me. One example is how they took him saying that Rachel was easier to talk to as a diss toward Annabeth and how he didn’t care abt her feelings. OFC Rachtel,2025-06-10 19:44:39+00:00,the way ppl perceive percy as if he was this awful boy during botl and before tlo is absolutely absurd to me. one example is how they took him saying that rachel was easier to talk to as a diss toward annabeth and how he didn’t care abt her feelings. ofc rachtel
@TertiusIII Erratum: it's sad...damn autospelling,2025-06-10 19:44:39+00:00,erratum: it's sad...damn autospelling
@0ladap_ i’m so sad bro,2025-06-10 19:44:38+00:00,i’m so sad bro
"Oh dear, how sad, never mind. 

Academics who sued union after being called transphobic lose tribunal case
https://t.co/sMjEI6tgbM",2025-06-10 19:44:37+00:00,"oh dear, how sad, never mind. 

academics who sued union after being called transphobic lose tribunal case"
"@Book_ofELI999 Well, I guess you don’t have the balls to use your real account or I just hurt your feelings in your real account lol. 
You’re either a butt hurt aewsexual or a butt hurt libtard. Either way you’re butt hurt lol https://t.co/EetuA3BZCH",2025-06-10 19:44:36+00:00,"well, i guess you don’t have the balls to use your real account or i just hurt your feelings in your real account lol. 
you’re either a butt hurt aewsexual or a butt hurt libtard. either way you’re butt hurt lol"
struggling with self harm while being an adult is so hard like how do i explain people that im a big person but my feelings are so big it makes me hurt myself,2025-06-10 19:44:36+00:00,struggling with self harm while being an adult is so hard like how do i explain people that im a big person but my feelings are so big it makes me hurt myself
@amyann787 Love your prose even though they are sad. You have a beautiful smile that truly shows your soul❤️,2025-06-10 19:44:36+00:00,love your prose even though they are sad. you have a beautiful smile that truly shows your soul❤️
